07:42:23 | INFO    | train_pibe         | experiment:
system            : automatica_n3v2(n=3) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397]
disturbance       : independent a per trajectory
basis             : FourierBasis(q=3, H=2, omega=0.628319, horizon=[0, 20], periods=2)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=2048, N=201, n=3, horizon=[0, 20])
  train / val     : 1638 / 410
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..4, 2216458 parameters
07:42:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  3.040e-01 |  3.066e-01 |  5.519e-02 |   27.60 |   391.23 |
  2 |  2.835e-01 |  3.036e-01 |  5.465e-02 |   27.33 |   387.40 |
  3 |  1.472e-01 |  1.395e-01 |  1.674e-02 |    8.37 |   118.69 |

every basis function is observable above the noise floor.
07:42:25 | INFO    | pibe.training.trainer | cell 2/4: 8000 local iterations then 12000 fine-tuning iterations
07:42:33 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=1.2805e+01 | data=1.2437e+01 | phys=3.6835e-01 | |g|=8.71e+01
08:00:19 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=3.3325e-02 | data=7.6343e-03 | phys=2.5691e-02 | |g|=6.18e-01
08:17:44 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | local  | obj=3.3244e-02 | data=5.1146e-03 | phys=2.8130e-02 | |g|=5.55e-01
08:34:54 | INFO    | pibe.training.trainer |   cell 2 | i= 6000 | local  | obj=3.6188e-02 | data=6.1651e-03 | phys=3.0023e-02 | |g|=5.84e-03
08:52:07 | INFO    | pibe.training.trainer |   cell 2 | i= 8000 | global | obj=3.3412e-02 | data=5.9440e-03 | phys=2.7468e-02 | |g|=2.33e-01
09:10:52 | INFO    | pibe.training.trainer |   cell 2 | i=10000 | global | obj=3.5596e-02 | data=5.4303e-03 | phys=3.0165e-02 | |g|=1.72e-01
09:29:34 | INFO    | pibe.training.trainer |   cell 2 | i=12000 | global | obj=2.9505e-02 | data=5.1388e-03 | phys=2.4366e-02 | |g|=7.41e-03
09:47:31 | INFO    | pibe.training.trainer |   cell 2 | i=14000 | global | obj=3.3293e-02 | data=5.4995e-03 | phys=2.7794e-02 | |g|=1.13e-01
10:05:04 | INFO    | pibe.training.trainer |   cell 2 | i=16000 | global | obj=3.1558e-02 | data=5.3351e-03 | phys=2.6223e-02 | |g|=1.53e-01
10:21:44 | INFO    | pibe.training.trainer |   cell 2 | i=18000 | global | obj=3.4663e-02 | data=5.8332e-03 | phys=2.8830e-02 | |g|=8.09e-03
10:37:57 | INFO    | pibe.training.trainer |   cell 2 | i=19999 | global | obj=3.3836e-02 | data=5.7885e-03 | phys=2.8048e-02 | |g|=8.08e-03
10:37:59 | INFO    | pibe.training.trainer |   cell 2 done in 10531.5s | val local=3.3080e-02 (data=5.6766e-03, phys=2.7404e-02)
10:37:59 | INFO    | pibe.training.trainer | cell 3/4: 8000 local iterations then 12000 fine-tuning iterations
10:38:00 | INFO    | pibe.training.trainer |   cell 3 | i=    0 | local  | obj=9.2479e-02 | data=6.0463e-02 | phys=3.2016e-02 | |g|=1.19e+01
10:57:05 | INFO    | pibe.training.trainer |   cell 3 | i= 2000 | local  | obj=9.5599e-05 | data=1.4860e-22 | phys=9.5599e-05 | |g|=1.16e-01
11:16:08 | INFO    | pibe.training.trainer |   cell 3 | i= 4000 | local  | obj=3.8389e-06 | data=1.4981e-22 | phys=3.8389e-06 | |g|=1.68e-02
11:35:12 | INFO    | pibe.training.trainer |   cell 3 | i= 6000 | local  | obj=4.9030e-06 | data=1.7081e-22 | phys=4.9030e-06 | |g|=2.24e-02
