11:06:40 | INFO    | train_pibe         | experiment:
system            : automatica_n3v2(n=3) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397]
disturbance       : one a shared by all trajectories
basis             : FourierBasis(q=3, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : BiasedNoise(TruncatedGaussianNoise(sigma=0.05, bound=0.15000000000000002), bias=+0.15)
data              : TrajectoryData(P=64, N=201, n=3, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..4, 284909 parameters
estimator         : EPIBE (Algorithm 2), N_EBM=1000, beta=1
residual supports (Assumption 3):
 cell |      rho_k |     B_E |        L_E |  nodes |    spacing |  |1-int p|
----------------------------------------------------------------------------
    2 |        1.2 |      12 |      14.52 |   1024 |    0.00234 |   0.00e+00
11:06:41 | INFO    | train_pibe         | disturbance observability  (sigma = 0.05, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  1.472e-01 |  1.395e-01 |  2.511e-02 |    0.50 |     7.12 |  <- below the noise floor
  2 |  1.369e-01 |  1.401e-01 |  2.522e-02 |    0.50 |     7.15 |  <- below the noise floor
  3 |  4.558e-02 |  3.413e-02 |  4.096e-03 |    0.08 |     1.16 |  <- below the noise floor

basis function 3 leaves a trace 0.08x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
11:06:41 | INFO    | pibe.training.trainer | cell 2/4: 3000 local iterations then 3000 fine-tuning iterations
11:06:41 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | warmup | obj=3.0494e+00 | data=1.4377e+00 | phys=1.6116e+00 | |g|=4.39e+01
11:06:53 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | warmup | obj=2.9633e-03 | data=2.8228e-03 | phys=1.4050e-04 | |g|=5.41e-02
11:07:04 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | fit    | obj=1.2639e+02 | data=1.2639e+02 | phys=1.8321e-04 | |g|=7.15e+00
11:07:15 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | fit    | obj=1.1961e+02 | data=1.1961e+02 | phys=1.6528e-04 | |g|=6.43e+00
11:07:28 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=-6.9031e-01 | data=-6.9278e-01 | phys=2.4669e-03 | |g|=2.58e+01
11:07:41 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=-1.3930e+00 | data=-1.3966e+00 | phys=3.6185e-03 | |g|=1.12e+02
11:07:54 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=-1.4952e+00 | data=-1.4993e+00 | phys=4.0495e-03 | |g|=9.10e+01
11:08:07 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=-1.4897e+00 | data=-1.4939e+00 | phys=4.2408e-03 | |g|=9.59e+01
11:08:21 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | global | obj=-1.5313e+00 | data=-1.5340e+00 | phys=2.7060e-03 | |g|=2.56e+01
11:08:34 | INFO    | pibe.training.trainer |   cell 2 | i= 4500 | global | obj=-1.5398e+00 | data=-1.5411e+00 | phys=1.2713e-03 | |g|=8.38e+01
11:08:47 | INFO    | pibe.training.trainer |   cell 2 | i= 5000 | global | obj=-1.5840e+00 | data=-1.5856e+00 | phys=1.5448e-03 | |g|=4.06e+01
11:09:00 | INFO    | pibe.training.trainer |   cell 2 | i= 5500 | global | obj=-1.6056e+00 | data=-1.6077e+00 | phys=2.0740e-03 | |g|=1.35e+00
11:09:14 | INFO    | pibe.training.trainer |   cell 2 | i= 5999 | global | obj=-1.6005e+00 | data=-1.6027e+00 | phys=2.1385e-03 | |g|=2.82e+00
11:09:14 | INFO    | pibe.training.trainer |   cell 2 done in 152.8s | val local=-1.5703e+00 (data=-1.5713e+00, phys=9.5737e-04)
11:09:14 | INFO    | pibe.training.epibe_trainer |   cell 2 EBM | mu=-1.4447e-01 | sd=5.0159e-02 | log Z=+2.6978e+00 | |1-int p|=4.44e-16
11:09:14 | INFO    | pibe.training.epibe_trainer |   mu_omega_hat = -1.444665e-01  (Eq. 54)
11:09:14 | INFO    | pibe.training.trainer | cell 3/4: 3000 local iterations then 3000 fine-tuning iterations
11:09:14 | INFO    | pibe.training.trainer |   cell 3 | i=    0 | warmup | obj=1.1823e+00 | data=2.9516e-01 | phys=8.8712e-01 | |g|=1.51e+01
11:09:31 | INFO    | pibe.training.trainer |   cell 3 | i=  500 | warmup | obj=1.2130e-03 | data=7.6452e-04 | phys=4.4850e-04 | |g|=7.20e-03
11:09:48 | INFO    | pibe.training.trainer |   cell 3 | i= 1000 | fit    | obj=1.0974e-03 | data=6.9988e-04 | phys=3.9751e-04 | |g|=4.87e-02
11:10:05 | INFO    | pibe.training.trainer |   cell 3 | i= 1500 | fit    | obj=1.0197e-03 | data=6.6371e-04 | phys=3.5596e-04 | |g|=2.34e-02
11:10:22 | INFO    | pibe.training.trainer |   cell 3 | i= 2000 | local  | obj=6.7682e-04 | data=5.3395e-04 | phys=1.4287e-04 | |g|=8.27e-02
