15:44:21 | INFO    | train_pibe         | experiment:
system            : automatica_n4(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.01, bound=0.03)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 409102 parameters
15:44:21 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 7000 fine-tuning iterations
15:44:22 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=1.2270e+01 | data=1.1876e+01 | phys=3.9366e-01 | |g|=7.56e+02
15:44:28 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=8.8374e-03 | data=8.6723e-03 | phys=1.6510e-04 | |g|=4.49e+00
15:44:33 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=6.1743e-03 | data=6.0763e-03 | phys=9.7976e-05 | |g|=3.19e+00
15:44:39 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=5.5989e-03 | data=5.4466e-03 | phys=1.5233e-04 | |g|=3.23e+00
15:44:45 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=2.3291e-03 | data=2.1945e-03 | phys=1.3462e-04 | |g|=1.51e+00
15:44:52 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=2.4498e-03 | data=2.3515e-03 | phys=9.8328e-05 | |g|=2.02e+00
15:44:57 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=1.7723e-03 | data=1.6877e-03 | phys=8.4530e-05 | |g|=1.76e+00
15:45:03 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=5.7194e-04 | data=5.1691e-04 | phys=5.5031e-05 | |g|=5.87e-01
15:45:11 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | global | obj=1.5328e-03 | data=6.5705e-04 | phys=8.7572e-04 | |g|=7.98e-01
15:45:17 | INFO    | pibe.training.trainer |   cell 2 | i= 4500 | global | obj=3.9317e-04 | data=3.5135e-04 | phys=4.1821e-05 | |g|=7.69e-02
15:45:23 | INFO    | pibe.training.trainer |   cell 2 | i= 5000 | global | obj=2.9775e-04 | data=2.8304e-04 | phys=1.4705e-05 | |g|=4.57e-02
15:45:28 | INFO    | pibe.training.trainer |   cell 2 | i= 5500 | global | obj=4.0235e-04 | data=3.7961e-04 | phys=2.2748e-05 | |g|=5.72e-01
15:45:34 | INFO    | pibe.training.trainer |   cell 2 | i= 6000 | global | obj=3.3327e-04 | data=3.1893e-04 | phys=1.4332e-05 | |g|=1.24e-01
15:45:40 | INFO    | pibe.training.trainer |   cell 2 | i= 6500 | global | obj=4.2123e-04 | data=3.8420e-04 | phys=3.7032e-05 | |g|=4.46e-01
15:45:45 | INFO    | pibe.training.trainer |   cell 2 | i= 7000 | global | obj=2.8622e-04 | data=2.7427e-04 | phys=1.1942e-05 | |g|=2.30e-02
15:45:51 | INFO    | pibe.training.trainer |   cell 2 | i= 7500 | global | obj=5.1713e-04 | data=4.1587e-04 | phys=1.0126e-04 | |g|=5.04e-01
15:45:56 | INFO    | pibe.training.trainer |   cell 2 | i= 8000 | global | obj=3.4455e-04 | data=3.3280e-04 | phys=1.1751e-05 | |g|=3.12e-01
15:46:02 | INFO    | pibe.training.trainer |   cell 2 | i= 8500 | global | obj=2.5886e-04 | data=2.5049e-04 | phys=8.3691e-06 | |g|=1.50e-01
15:46:07 | INFO    | pibe.training.trainer |   cell 2 | i= 9000 | global | obj=1.2415e-03 | data=1.1914e-03 | phys=5.0082e-05 | |g|=1.53e+00
15:46:13 | INFO    | pibe.training.trainer |   cell 2 | i= 9500 | global | obj=2.8570e-04 | data=2.7716e-04 | phys=8.5361e-06 | |g|=3.17e-01
15:46:18 | INFO    | pibe.training.trainer |   cell 2 | i= 9999 | global | obj=5.2447e-04 | data=4.9871e-04 | phys=2.5753e-05 | |g|=7.94e-01
15:46:18 | INFO    | pibe.training.trainer |   cell 2 done in 116.7s | val local=6.2908e-04 (data=6.0394e-04, phys=2.5145e-05)
