16:03:09 | INFO    | train_pibe         | experiment:
system            : automatica_n4(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
16:03:09 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.507e-02 |  7.313e-02 |  1.097e-02 |    5.48 |    77.76 |
  2 |  7.249e-02 |  7.508e-02 |  1.126e-02 |    5.63 |    79.83 |
  3 |  3.235e-02 |  1.526e-02 |  1.832e-03 |    0.92 |    12.98 |  <- below the noise floor
  4 |  1.297e-02 |  1.230e-02 |  1.476e-03 |    0.74 |    10.47 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
16:03:09 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
16:03:10 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=1.3119e+01 | data=8.9016e+00 | phys=4.2179e+00 | |g|=1.03e+02
16:03:14 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=8.6309e-03 | data=5.4689e-03 | phys=3.1620e-03 | |g|=9.96e-01
16:03:17 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=6.3897e-02 | data=6.1313e-02 | phys=2.5839e-03 | |g|=1.47e+01
16:03:21 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=6.0452e-03 | data=5.3534e-03 | phys=6.9183e-04 | |g|=3.46e+00
16:03:25 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=2.2557e-02 | data=2.1815e-02 | phys=7.4154e-04 | |g|=7.44e+00
16:03:29 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=2.1695e-03 | data=1.7626e-03 | phys=4.0697e-04 | |g|=1.80e+00
16:03:33 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=4.2437e-03 | data=3.9022e-03 | phys=3.4146e-04 | |g|=3.18e+00
16:03:36 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=4.8398e-04 | data=3.1024e-04 | phys=1.7373e-04 | |g|=4.27e-01
16:03:40 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=3.1798e-03 | data=3.0712e-03 | phys=1.0857e-04 | |g|=2.76e+00
16:03:44 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=4.4608e-03 | data=4.3151e-03 | phys=1.4567e-04 | |g|=3.41e+00
16:03:48 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=1.4220e-04 | data=8.5583e-05 | phys=5.6614e-05 | |g|=1.87e-02
16:03:51 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=1.5116e-04 | data=9.1620e-05 | phys=5.9544e-05 | |g|=3.75e-02
16:03:55 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=9.7396e-05 | data=6.5425e-05 | phys=3.1972e-05 | |g|=1.00e-01
16:03:59 | INFO    | pibe.training.trainer |   cell 2 | i= 3250 | global | obj=1.0642e-04 | data=8.6411e-05 | phys=2.0009e-05 | |g|=3.21e-01
16:04:03 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=1.0930e-04 | data=7.6909e-05 | phys=3.2390e-05 | |g|=1.09e-01
16:04:06 | INFO    | pibe.training.trainer |   cell 2 | i= 3750 | global | obj=1.1902e-04 | data=1.0306e-04 | phys=1.5965e-05 | |g|=3.03e-01
16:04:10 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | global | obj=1.0641e-04 | data=8.3687e-05 | phys=2.2721e-05 | |g|=2.61e-01
16:04:14 | INFO    | pibe.training.trainer |   cell 2 | i= 4250 | global | obj=7.6001e-05 | data=6.2261e-05 | phys=1.3740e-05 | |g|=1.72e-01
16:04:18 | INFO    | pibe.training.trainer |   cell 2 | i= 4500 | global | obj=8.2190e-05 | data=6.7759e-05 | phys=1.4432e-05 | |g|=1.63e-01
16:04:22 | INFO    | pibe.training.trainer |   cell 2 | i= 4750 | global | obj=4.6718e-05 | data=3.8409e-05 | phys=8.3096e-06 | |g|=2.51e-02
16:04:25 | INFO    | pibe.training.trainer |   cell 2 | i= 5000 | global | obj=4.9362e-05 | data=3.8531e-05 | phys=1.0831e-05 | |g|=3.81e-02
16:04:29 | INFO    | pibe.training.trainer |   cell 2 | i= 5250 | global | obj=4.1307e-05 | data=3.4858e-05 | phys=6.4483e-06 | |g|=4.99e-02
16:04:33 | INFO    | pibe.training.trainer |   cell 2 | i= 5500 | global | obj=4.5559e-05 | data=3.4943e-05 | phys=1.0616e-05 | |g|=2.83e-02
16:04:37 | INFO    | pibe.training.trainer |   cell 2 | i= 5750 | global | obj=2.4147e-05 | data=1.8404e-05 | phys=5.7432e-06 | |g|=3.60e-03
16:04:40 | INFO    | pibe.training.trainer |   cell 2 | i= 5999 | global | obj=3.5121e-05 | data=2.4656e-05 | phys=1.0465e-05 | |g|=9.22e-03
16:04:40 | INFO    | pibe.training.trainer |   cell 2 done in 91.2s | val local=1.2060e-04 (data=8.8179e-05, phys=3.2422e-05)
16:04:40 | INFO    | pibe.training.trainer | cell 3/5: 3000 local iterations then 3000 fine-tuning iterations
16:04:40 | INFO    | pibe.training.trainer |   cell 3 | i=    0 | local  | obj=1.3715e+00 | data=4.6415e-01 | phys=9.0736e-01 | |g|=1.72e+01
16:04:46 | INFO    | pibe.training.trainer |   cell 3 | i=  250 | local  | obj=1.7772e-03 | data=1.3513e-03 | phys=4.2588e-04 | |g|=1.35e-01
16:04:51 | INFO    | pibe.training.trainer |   cell 3 | i=  500 | local  | obj=6.7168e-04 | data=4.6244e-04 | phys=2.0924e-04 | |g|=2.79e-01
16:04:57 | INFO    | pibe.training.trainer |   cell 3 | i=  750 | local  | obj=2.4814e-04 | data=1.8738e-04 | phys=6.0768e-05 | |g|=7.09e-02
16:05:02 | INFO    | pibe.training.trainer |   cell 3 | i= 1000 | local  | obj=2.4090e-04 | data=1.7640e-04 | phys=6.4500e-05 | |g|=1.49e-01
16:05:07 | INFO    | pibe.training.trainer |   cell 3 | i= 1250 | local  | obj=1.2941e-04 | data=8.6758e-05 | phys=4.2657e-05 | |g|=5.48e-02
16:05:13 | INFO    | pibe.training.trainer |   cell 3 | i= 1500 | local  | obj=1.0179e-04 | data=7.4832e-05 | phys=2.6958e-05 | |g|=7.59e-02
16:05:18 | INFO    | pibe.training.trainer |   cell 3 | i= 1750 | local  | obj=1.0484e-04 | data=8.1627e-05 | phys=2.3216e-05 | |g|=1.04e-01
16:05:24 | INFO    | pibe.training.trainer |   cell 3 | i= 2000 | local  | obj=8.7058e-05 | data=4.4338e-05 | phys=4.2720e-05 | |g|=8.74e-02
16:05:29 | INFO    | pibe.training.trainer |   cell 3 | i= 2250 | local  | obj=7.4063e-05 | data=3.4423e-05 | phys=3.9640e-05 | |g|=5.96e-02
16:05:35 | INFO    | pibe.training.trainer |   cell 3 | i= 2500 | local  | obj=7.6378e-05 | data=4.1149e-05 | phys=3.5229e-05 | |g|=9.59e-02
16:05:40 | INFO    | pibe.training.trainer |   cell 3 | i= 2750 | local  | obj=4.2849e-05 | data=2.4500e-05 | phys=1.8349e-05 | |g|=4.12e-02
16:05:45 | INFO    | pibe.training.trainer |   cell 3 | i= 3000 | global | obj=7.9978e-05 | data=2.9488e-05 | phys=1.3874e-05 | |g|=1.86e-02
16:05:53 | INFO    | pibe.training.trainer |   cell 3 | i= 3250 | global | obj=6.7872e-05 | data=1.3605e-05 | phys=4.9820e-06 | |g|=8.76e-02
16:06:01 | INFO    | pibe.training.trainer |   cell 3 | i= 3500 | global | obj=2.2589e-04 | data=1.7798e-04 | phys=9.2630e-06 | |g|=3.10e-01
16:06:08 | INFO    | pibe.training.trainer |   cell 3 | i= 3750 | global | obj=7.0168e-05 | data=3.1948e-05 | phys=5.6888e-06 | |g|=1.29e-01
16:06:16 | INFO    | pibe.training.trainer |   cell 3 | i= 4000 | global | obj=4.3123e-05 | data=5.6366e-06 | phys=8.4645e-06 | |g|=1.35e-01
16:06:24 | INFO    | pibe.training.trainer |   cell 3 | i= 4250 | global | obj=3.5678e-05 | data=3.5235e-06 | phys=2.2259e-06 | |g|=2.15e-02
16:06:31 | INFO    | pibe.training.trainer |   cell 3 | i= 4500 | global | obj=3.3019e-05 | data=4.3177e-06 | phys=2.9482e-06 | |g|=2.95e-02
16:06:39 | INFO    | pibe.training.trainer |   cell 3 | i= 4750 | global | obj=2.9045e-05 | data=2.9363e-06 | phys=2.5263e-06 | |g|=4.02e-02
16:06:47 | INFO    | pibe.training.trainer |   cell 3 | i= 5000 | global | obj=3.3254e-05 | data=3.2351e-06 | phys=3.2003e-06 | |g|=1.42e-02
16:06:54 | INFO    | pibe.training.trainer |   cell 3 | i= 5250 | global | obj=2.6561e-05 | data=2.6380e-06 | phys=2.2240e-06 | |g|=6.75e-03
