12:34:11 | INFO    | train_pibe         | experiment:
system            : automatica_n4v2(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:34:11 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:34:11 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
12:34:12 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=9.6112e+00 | data=6.4106e+00 | phys=3.2007e+00 | |g|=1.29e+02
12:34:15 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=8.1561e-02 | data=7.6128e-02 | phys=5.4334e-03 | |g|=1.72e+01
12:34:17 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=1.7823e-02 | data=1.3607e-02 | phys=4.2161e-03 | |g|=6.53e+00
12:34:20 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=1.8409e-02 | data=1.6769e-02 | phys=1.6401e-03 | |g|=6.58e+00
12:34:22 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=2.2563e-02 | data=1.9315e-02 | phys=3.2489e-03 | |g|=7.32e+00
12:34:25 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=3.9872e-03 | data=2.9541e-03 | phys=1.0331e-03 | |g|=2.44e+00
12:34:27 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=6.4682e-03 | data=5.3568e-03 | phys=1.1114e-03 | |g|=3.66e+00
12:34:29 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=4.6821e-03 | data=4.1939e-03 | phys=4.8813e-04 | |g|=3.10e+00
12:34:32 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=6.7057e-03 | data=5.6205e-03 | phys=1.0851e-03 | |g|=3.82e+00
12:34:34 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=2.6320e-03 | data=2.3699e-03 | phys=2.6207e-04 | |g|=2.13e+00
12:34:37 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=3.3742e-03 | data=2.8476e-03 | phys=5.2664e-04 | |g|=2.31e+00
12:34:39 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=9.6903e-04 | data=5.6728e-04 | phys=4.0176e-04 | |g|=5.96e-02
12:34:42 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=5.3632e-04 | data=3.4473e-04 | phys=1.9159e-04 | |g|=1.30e-01
12:34:44 | INFO    | pibe.training.trainer |   cell 2 | i= 3250 | global | obj=2.0054e-03 | data=1.8038e-03 | phys=2.0160e-04 | |g|=1.85e+00
12:34:47 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=3.8751e-04 | data=2.6800e-04 | phys=1.1951e-04 | |g|=4.25e-01
12:34:49 | INFO    | pibe.training.trainer |   cell 2 | i= 3750 | global | obj=1.9538e-04 | data=1.3327e-04 | phys=6.2107e-05 | |g|=4.60e-02
12:34:52 | INFO    | pibe.training.trainer |   cell 2 | i= 4000 | global | obj=8.0949e-04 | data=4.9780e-04 | phys=3.1169e-04 | |g|=3.68e-01
12:34:54 | INFO    | pibe.training.trainer |   cell 2 | i= 4250 | global | obj=2.3085e-04 | data=1.3991e-04 | phys=9.0942e-05 | |g|=3.85e-02
12:34:57 | INFO    | pibe.training.trainer |   cell 2 | i= 4500 | global | obj=2.2962e-04 | data=1.4725e-04 | phys=8.2378e-05 | |g|=1.88e-01
12:34:59 | INFO    | pibe.training.trainer |   cell 2 | i= 4750 | global | obj=9.2221e-05 | data=6.2828e-05 | phys=2.9393e-05 | |g|=1.33e-01
12:35:02 | INFO    | pibe.training.trainer |   cell 2 | i= 5000 | global | obj=1.4616e-04 | data=9.1088e-05 | phys=5.5071e-05 | |g|=1.44e-01
12:35:04 | INFO    | pibe.training.trainer |   cell 2 | i= 5250 | global | obj=1.0936e-04 | data=7.0344e-05 | phys=3.9016e-05 | |g|=5.40e-02
12:35:07 | INFO    | pibe.training.trainer |   cell 2 | i= 5500 | global | obj=7.9988e-05 | data=5.2717e-05 | phys=2.7271e-05 | |g|=2.79e-02
12:35:09 | INFO    | pibe.training.trainer |   cell 2 | i= 5750 | global | obj=8.3570e-05 | data=5.7611e-05 | phys=2.5958e-05 | |g|=9.86e-03
12:35:12 | INFO    | pibe.training.trainer |   cell 2 | i= 5999 | global | obj=8.7937e-05 | data=6.2934e-05 | phys=2.5003e-05 | |g|=7.94e-03
12:35:12 | INFO    | pibe.training.trainer |   cell 2 done in 60.5s | val local=2.3614e-04 (data=1.3431e-04, phys=1.0184e-04)
12:35:12 | INFO    | pibe.training.trainer | cell 3/5: 3000 local iterations then 3000 fine-tuning iterations
12:35:12 | INFO    | pibe.training.trainer |   cell 3 | i=    0 | local  | obj=2.0921e+00 | data=9.3303e-01 | phys=1.1590e+00 | |g|=1.94e+01
12:35:15 | INFO    | pibe.training.trainer |   cell 3 | i=  250 | local  | obj=2.0724e-03 | data=1.4751e-03 | phys=5.9727e-04 | |g|=9.71e-02
12:35:19 | INFO    | pibe.training.trainer |   cell 3 | i=  500 | local  | obj=4.3536e-04 | data=2.8553e-04 | phys=1.4983e-04 | |g|=3.33e-02
12:35:23 | INFO    | pibe.training.trainer |   cell 3 | i=  750 | local  | obj=3.7567e-04 | data=2.6009e-04 | phys=1.1557e-04 | |g|=1.87e-01
12:35:26 | INFO    | pibe.training.trainer |   cell 3 | i= 1000 | local  | obj=5.2580e-04 | data=3.2673e-04 | phys=1.9907e-04 | |g|=3.12e-02
12:35:30 | INFO    | pibe.training.trainer |   cell 3 | i= 1250 | local  | obj=3.6634e-04 | data=1.5841e-04 | phys=2.0793e-04 | |g|=1.92e-01
12:35:33 | INFO    | pibe.training.trainer |   cell 3 | i= 1500 | local  | obj=2.6070e-04 | data=1.4491e-04 | phys=1.1579e-04 | |g|=1.30e-01
12:35:37 | INFO    | pibe.training.trainer |   cell 3 | i= 1750 | local  | obj=8.8590e-05 | data=5.7046e-05 | phys=3.1544e-05 | |g|=3.82e-02
12:35:40 | INFO    | pibe.training.trainer |   cell 3 | i= 2000 | local  | obj=3.5142e-04 | data=2.3164e-04 | phys=1.1977e-04 | |g|=3.02e-01
12:35:44 | INFO    | pibe.training.trainer |   cell 3 | i= 2250 | local  | obj=8.3796e-05 | data=6.4292e-05 | phys=1.9504e-05 | |g|=8.40e-02
12:35:47 | INFO    | pibe.training.trainer |   cell 3 | i= 2500 | local  | obj=9.9759e-05 | data=7.2073e-05 | phys=2.7686e-05 | |g|=6.99e-02
12:35:51 | INFO    | pibe.training.trainer |   cell 3 | i= 2750 | local  | obj=8.6183e-05 | data=4.0704e-05 | phys=4.5479e-05 | |g|=7.14e-02
12:35:54 | INFO    | pibe.training.trainer |   cell 3 | i= 3000 | global | obj=2.0547e-04 | data=8.1875e-05 | phys=5.8171e-05 | |g|=1.81e-01
12:35:59 | INFO    | pibe.training.trainer |   cell 3 | i= 3250 | global | obj=2.5204e-04 | data=2.1037e-05 | phys=1.1524e-05 | |g|=5.20e-01
12:36:04 | INFO    | pibe.training.trainer |   cell 3 | i= 3500 | global | obj=4.5740e-04 | data=7.0360e-05 | phys=1.5338e-05 | |g|=7.29e-01
12:36:09 | INFO    | pibe.training.trainer |   cell 3 | i= 3750 | global | obj=7.9756e-05 | data=1.1352e-05 | phys=6.8013e-06 | |g|=1.67e-01
12:36:14 | INFO    | pibe.training.trainer |   cell 3 | i= 4000 | global | obj=1.0916e-04 | data=1.6465e-05 | phys=1.2043e-05 | |g|=9.52e-02
12:36:19 | INFO    | pibe.training.trainer |   cell 3 | i= 4250 | global | obj=8.9604e-05 | data=3.5617e-05 | phys=5.2598e-06 | |g|=1.45e-01
12:36:25 | INFO    | pibe.training.trainer |   cell 3 | i= 4500 | global | obj=6.8379e-05 | data=1.0673e-05 | phys=5.0521e-06 | |g|=2.78e-02
12:36:30 | INFO    | pibe.training.trainer |   cell 3 | i= 4750 | global | obj=5.3648e-05 | data=8.2781e-06 | phys=4.0092e-06 | |g|=4.43e-02
12:36:35 | INFO    | pibe.training.trainer |   cell 3 | i= 5000 | global | obj=5.0291e-05 | data=6.6491e-06 | phys=3.3306e-06 | |g|=1.96e-02
12:36:40 | INFO    | pibe.training.trainer |   cell 3 | i= 5250 | global | obj=3.6249e-05 | data=5.4405e-06 | phys=2.5050e-06 | |g|=1.84e-02
12:36:45 | INFO    | pibe.training.trainer |   cell 3 | i= 5500 | global | obj=3.8611e-05 | data=4.1726e-06 | phys=2.2898e-06 | |g|=2.53e-02
12:36:50 | INFO    | pibe.training.trainer |   cell 3 | i= 5750 | global | obj=5.0863e-05 | data=4.0430e-06 | phys=2.5299e-06 | |g|=1.69e-02
12:36:55 | INFO    | pibe.training.trainer |   cell 3 | i= 5999 | global | obj=4.1745e-05 | data=4.9123e-06 | phys=2.6930e-06 | |g|=3.53e-03
12:36:55 | INFO    | pibe.training.trainer |   cell 3 done in 103.1s | val local=4.8592e-05 (data=3.4078e-05, phys=1.4514e-05)
12:36:55 | INFO    | pibe.training.trainer | cell 4/5: 3000 local iterations then 3000 fine-tuning iterations
12:36:55 | INFO    | pibe.training.trainer |   cell 4 | i=    0 | local  | obj=6.9216e-01 | data=2.6848e-01 | phys=4.2368e-01 | |g|=1.08e+01
12:37:00 | INFO    | pibe.training.trainer |   cell 4 | i=  250 | local  | obj=2.7718e-03 | data=1.1904e-03 | phys=1.5814e-03 | |g|=1.00e+00
12:37:04 | INFO    | pibe.training.trainer |   cell 4 | i=  500 | local  | obj=1.1134e-03 | data=8.0612e-04 | phys=3.0732e-04 | |g|=1.13e-01
12:37:09 | INFO    | pibe.training.trainer |   cell 4 | i=  750 | local  | obj=8.5286e-04 | data=6.1219e-04 | phys=2.4068e-04 | |g|=2.01e-02
12:37:13 | INFO    | pibe.training.trainer |   cell 4 | i= 1000 | local  | obj=8.6288e-04 | data=5.4829e-04 | phys=3.1459e-04 | |g|=3.61e-01
12:37:17 | INFO    | pibe.training.trainer |   cell 4 | i= 1250 | local  | obj=5.1719e-04 | data=2.6677e-04 | phys=2.5042e-04 | |g|=2.27e-01
12:37:22 | INFO    | pibe.training.trainer |   cell 4 | i= 1500 | local  | obj=2.9715e-04 | data=1.4825e-04 | phys=1.4890e-04 | |g|=2.21e-01
12:37:26 | INFO    | pibe.training.trainer |   cell 4 | i= 1750 | local  | obj=2.4310e-04 | data=1.3759e-04 | phys=1.0551e-04 | |g|=5.07e-02
12:37:31 | INFO    | pibe.training.trainer |   cell 4 | i= 2000 | local  | obj=2.5030e-04 | data=1.4371e-04 | phys=1.0659e-04 | |g|=5.24e-02
12:37:35 | INFO    | pibe.training.trainer |   cell 4 | i= 2250 | local  | obj=1.7333e-04 | data=1.0371e-04 | phys=6.9625e-05 | |g|=4.62e-02
12:37:40 | INFO    | pibe.training.trainer |   cell 4 | i= 2500 | local  | obj=7.8535e-05 | data=4.5083e-05 | phys=3.3452e-05 | |g|=4.84e-02
12:37:44 | INFO    | pibe.training.trainer |   cell 4 | i= 2750 | local  | obj=1.1175e-04 | data=5.4251e-05 | phys=5.7502e-05 | |g|=1.38e-01
12:37:49 | INFO    | pibe.training.trainer |   cell 4 | i= 3000 | global | obj=1.2226e-04 | data=4.1953e-05 | phys=4.4137e-05 | |g|=1.11e-01
