12:49:24 | INFO    | train_pibe         | experiment:
system            : automatica_n4v3(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:49:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:49:25 | INFO    | pibe.training.trainer | cell 2/5: 3000 local iterations then 3000 fine-tuning iterations
12:49:26 | INFO    | pibe.training.trainer |   cell 2 | i=    0 | local  | obj=2.7100e+01 | data=2.6351e+01 | phys=7.4910e-01 | |g|=1.89e+02
12:49:30 | INFO    | pibe.training.trainer |   cell 2 | i=  250 | local  | obj=3.8433e-02 | data=3.3125e-02 | phys=5.3080e-03 | |g|=1.08e+01
12:49:34 | INFO    | pibe.training.trainer |   cell 2 | i=  500 | local  | obj=9.8573e-03 | data=8.6361e-03 | phys=1.2213e-03 | |g|=5.52e+00
12:49:38 | INFO    | pibe.training.trainer |   cell 2 | i=  750 | local  | obj=1.2075e-02 | data=1.0311e-02 | phys=1.7647e-03 | |g|=5.85e+00
12:49:43 | INFO    | pibe.training.trainer |   cell 2 | i= 1000 | local  | obj=6.3041e-03 | data=5.4340e-03 | phys=8.7001e-04 | |g|=3.90e+00
12:49:48 | INFO    | pibe.training.trainer |   cell 2 | i= 1250 | local  | obj=7.2215e-03 | data=5.3547e-03 | phys=1.8668e-03 | |g|=4.22e+00
12:49:53 | INFO    | pibe.training.trainer |   cell 2 | i= 1500 | local  | obj=1.4483e-02 | data=1.4154e-02 | phys=3.2951e-04 | |g|=5.63e+00
12:49:58 | INFO    | pibe.training.trainer |   cell 2 | i= 1750 | local  | obj=4.6174e-03 | data=3.9639e-03 | phys=6.5347e-04 | |g|=3.19e+00
12:50:03 | INFO    | pibe.training.trainer |   cell 2 | i= 2000 | local  | obj=7.6988e-03 | data=6.5982e-03 | phys=1.1006e-03 | |g|=4.38e+00
12:50:07 | INFO    | pibe.training.trainer |   cell 2 | i= 2250 | local  | obj=7.6854e-04 | data=6.0973e-04 | phys=1.5881e-04 | |g|=9.32e-01
12:50:12 | INFO    | pibe.training.trainer |   cell 2 | i= 2500 | local  | obj=2.0092e-04 | data=1.4079e-04 | phys=6.0123e-05 | |g|=5.27e-02
12:50:17 | INFO    | pibe.training.trainer |   cell 2 | i= 2750 | local  | obj=1.8945e-04 | data=1.2142e-04 | phys=6.8034e-05 | |g|=5.67e-02
12:50:21 | INFO    | pibe.training.trainer |   cell 2 | i= 3000 | global | obj=2.1138e-04 | data=1.4454e-04 | phys=6.6846e-05 | |g|=4.90e-01
12:50:26 | INFO    | pibe.training.trainer |   cell 2 | i= 3250 | global | obj=3.3644e-04 | data=1.9270e-04 | phys=1.4374e-04 | |g|=6.75e-01
12:50:31 | INFO    | pibe.training.trainer |   cell 2 | i= 3500 | global | obj=1.2854e-04 | data=9.2971e-05 | phys=3.5569e-05 | |g|=7.11e-02
